feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef90_A0A174EAY6	condition	CRC	-2.06505307753774	0.632321363520311	66	36	0.00176772167736875	0.00366511273098285
UniRef90_A0A174J6F3	condition	CRC	1.66054560930834	0.508859962540099	66	46	0.0017692451790098	0.00366800134615832
UniRef90_A0A174RCG0	condition	CRC	-0.697200015704419	0.213656217671439	66	7	0.00176967382294338	0.00366861984267319
UniRef90_A0A173S269	condition	CRC	-1.01490211355254	0.311034718076428	66	7	0.00177074087196136	0.00367056159542422
UniRef90_A0A174W9J1	condition	CRC	-0.441014296651733	0.135168857309296	66	7	0.00177231902086884	0.0036735624411353
UniRef90_A0A173XEP5	condition	CRC	-1.52613413649829	0.464890116530691	66	26	0.00177314220693455	0.00367499811599953
UniRef90_A0A0P0M328	condition	CRC	-0.810760945069951	0.248515250003284	66	8	0.00177377712847186	0.0036760434128931
UniRef90_A0A174L045	condition	CRC	-0.751291914734053	0.23031967233393	66	8	0.00177627715748743	0.00368095359128349
UniRef90_A0A174EVJ1	condition	CRC	-0.564535809235213	0.173133523977302	66	8	0.001783029812354	0.00369455521797795
UniRef90_A0A174JLR4	condition	CRC	-0.5405610459323	0.165781565459402	66	7	0.00178310321634933	0.00369455521797795
UniRef90_A0A0M6WAT4	condition	CRC	-0.825234390730174	0.253125824259446	66	7	0.00178583889807036	0.00369913447564394
UniRef90_A0A174T5J2	condition	CRC	-0.671402915054354	0.205940231234512	66	7	0.0017857918431595	0.00369913447564394
UniRef90_A0A174XWU5	condition	CRC	-0.769151686274576	0.235923253795222	66	7	0.00178582337518198	0.00369913447564394
UniRef90_A0A174YAB3	condition	CRC	-0.961600446557349	0.294948151078444	66	8	0.00178551054971253	0.00369913447564394
UniRef90_A0A173VYK8	condition	CRC	-0.75288457816701	0.230937792900598	66	8	0.00178614134006719	0.00369948874378837
UniRef90_A0A174KL68	condition	CRC	-0.630777789206142	0.193509839846621	66	8	0.0017885731673168	0.00370425305718404
